claim_id,lob,loss_cause,policy_type,loss_state,insured_state,geographic_mismatch,stp_flag,reported_loss_amount,n_exposures_at_fnol,exposure_added_within_48h,fnol_date,close_date,fnol_hour,fnol_day_of_week,final_group,complexity,assignment_count,pct_manual,pct_system,pct_user_auto,n_unique_adjusters,same_adjuster_returned,final_adjuster_appeared_earlier,avg_hrs_between_events,group_label
CP-0099,Commercial Property,Fire - Electrical,Standalone Property,PA,NY,1,N,361600.0,1,0,11/18/2024,12/09/2024,16,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0100,Commercial Property,Vandalism,Standalone Property,OH,VA,1,N,9300.0,3,1,01/06/2024,09/09/2024,9,6,C,High,10.0,0.7,0.3,0.2,4.0,1.0,1.0,112.6,3
CP-0101,Commercial Property,Equipment Breakdown,Industrial,OH,MD,1,Y,57900.0,3,1,02/22/2024,03/19/2024,16,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0102,Commercial Property,Vandalism,Standalone Property,OH,OH,0,N,17300.0,3,1,03/17/2024,05/15/2024,17,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0103,Commercial Property,Fire - Structure,Commercial Package,KY,IN,1,N,504000.0,1,0,07/23/2024,09/10/2024,17,4,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0104,Commercial Property,Flood - Sewer Backup,BOP,MD,IL,1,N,111700.0,2,0,10/09/2024,02/06/2025,8,5,C,High,6.0,0.667,0.333,0.0,3.0,1.0,1.0,44.8,3
CP-0105,Commercial Property,Equipment Breakdown,BOP,MD,WV,1,Y,11100.0,1,0,10/21/2024,01/15/2025,11,1,A,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,156.5,1
CP-0106,Commercial Property,Fire - Structure,Industrial,NC,NC,0,Y,314000.0,1,0,02/02/2024,11/18/2024,18,3,C,High,7.0,0.571,0.429,0.0,4.0,0.0,0.0,64.8,3
CP-0107,Commercial Property,Water Damage - Pipe Burst,Standalone Property,NY,WV,1,Y,18500.0,1,0,08/09/2024,09/22/2024,14,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0108,Commercial Property,Wind/Hail - Roof,Commercial Package,PA,KY,1,N,56200.0,1,0,07/21/2024,09/12/2024,7,6,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0109,Commercial Property,Water Damage - Pipe Burst,BOP,WV,MD,1,Y,67700.0,3,1,06/09/2024,01/28/2025,10,6,C,High,9.0,0.667,0.333,0.111,4.0,1.0,1.0,80.6,3
CP-0110,Commercial Property,Equipment Breakdown,Commercial Package,NY,IN,1,N,17500.0,3,1,11/03/2024,12/15/2024,15,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0111,Commercial Property,Business Interruption,Industrial,IN,IL,1,N,381500.0,1,0,10/23/2024,11/21/2024,16,5,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0112,Commercial Property,Vandalism,BOP,IN,NC,1,N,16400.0,3,0,10/20/2024,08/30/2025,7,6,C,High,9.0,0.667,0.333,0.0,6.0,0.0,0.0,99.6,3
CP-0113,Commercial Property,Vandalism,Standalone Property,NC,IL,1,Y,9300.0,1,0,06/11/2024,10/10/2024,9,3,B,High,3.0,0.667,0.333,0.0,3.0,0.0,0.0,67.5,2
CP-0114,Commercial Property,Fire - Electrical,Commercial Package,WV,NY,1,N,263300.0,1,0,07/20/2024,08/11/2024,7,2,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0115,Commercial Property,Fire - Electrical,Standalone Property,NC,IL,1,N,272300.0,1,0,08/14/2024,05/21/2025,11,2,C,Medium,9.0,0.667,0.333,0.222,4.0,1.0,1.0,90.2,3
CP-0116,Commercial Property,Fire - Electrical,Commercial Package,IN,NC,1,N,252200.0,2,0,09/06/2024,10/16/2024,16,5,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0117,Commercial Property,Wind/Hail - Roof,BOP,IN,PA,1,N,89400.0,1,0,04/28/2024,11/04/2024,11,3,C,High,11.0,0.545,0.455,0.182,5.0,0.0,0.0,93.4,3
CP-0118,Commercial Property,Fire - Electrical,Commercial Package,NY,MD,1,N,328700.0,2,0,02/22/2024,09/29/2024,7,2,C,High,5.0,0.6,0.4,0.0,4.0,1.0,1.0,106.5,3
CP-0119,Commercial Property,Business Interruption,Commercial Package,PA,IL,1,N,272900.0,2,1,05/06/2024,12/18/2024,15,2,C,High,5.0,0.8,0.2,0.0,3.0,1.0,1.0,116.0,3
CP-0120,Commercial Property,Fire - Structure,Industrial,OH,IL,1,N,479300.0,1,0,04/22/2024,07/26/2024,16,4,B,High,4.0,0.75,0.25,0.0,3.0,1.0,1.0,53.3,2
CP-0121,Commercial Property,Business Interruption,Industrial,NC,KY,1,Y,422700.0,1,0,10/23/2024,12/06/2024,7,1,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0122,Commercial Property,Vandalism,BOP,IL,WV,1,N,10300.0,1,0,09/26/2024,01/08/2025,9,2,C,High,6.0,0.833,0.167,0.167,4.0,1.0,1.0,132.4,3
CP-0123,Commercial Property,Wind/Hail - Roof,Industrial,VA,NY,1,N,48300.0,1,0,08/15/2024,07/04/2025,20,6,C,High,12.0,0.667,0.333,0.167,6.0,1.0,1.0,79.0,3
CP-0124,Commercial Property,Wind/Hail - Roof,BOP,NY,IN,1,N,111500.0,2,1,08/27/2024,02/24/2025,11,5,C,High,8.0,0.625,0.375,0.125,4.0,0.0,0.0,115.0,3
CP-0125,Commercial Property,Wind/Hail - Exterior,Industrial,IL,IL,0,Y,39400.0,1,0,08/24/2024,02/09/2025,13,1,C,High,12.0,0.667,0.333,0.167,5.0,1.0,1.0,96.8,3
CP-0126,Commercial Property,Business Interruption,Industrial,NY,WV,1,N,453400.0,1,0,11/29/2024,09/20/2025,19,2,C,High,11.0,0.818,0.182,0.091,6.0,1.0,1.0,89.0,3
CP-0127,Commercial Property,Flood - Surface,Industrial,MD,VA,1,N,69800.0,1,0,07/07/2024,08/28/2024,9,0,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0128,Commercial Property,Fire - Electrical,BOP,NY,OH,1,N,378400.0,1,0,07/05/2024,10/06/2024,7,1,B,Medium,3.0,0.667,0.333,0.0,3.0,0.0,0.0,166.0,2
CP-0129,Commercial Property,Vandalism,Industrial,IL,IL,0,N,30700.0,2,1,08/01/2024,12/13/2024,8,6,C,High,5.0,0.8,0.2,0.2,4.0,1.0,1.0,48.5,3
CP-0130,Commercial Property,Wind/Hail - Roof,Standalone Property,MD,VA,1,N,25900.0,1,0,12/13/2024,08/04/2025,6,6,C,Medium,10.0,0.7,0.3,0.1,3.0,1.0,1.0,63.6,3
CP-0131,Commercial Property,Fire - Electrical,Commercial Package,IL,NC,1,Y,387500.0,1,0,04/17/2024,05/05/2024,9,6,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0132,Commercial Property,Flood - Surface,Industrial,IL,NC,1,N,152600.0,2,1,02/18/2024,11/28/2024,7,6,C,High,12.0,0.75,0.25,0.167,6.0,1.0,1.0,99.8,3
CP-0133,Commercial Property,Equipment Breakdown,Commercial Package,OH,NY,1,N,46700.0,3,1,09/16/2024,08/18/2025,14,1,C,High,11.0,0.545,0.455,0.273,6.0,1.0,1.0,81.5,3
CP-0134,Commercial Property,Fire - Electrical,Standalone Property,VA,NY,1,N,357700.0,2,1,11/09/2024,04/06/2025,9,2,C,High,9.0,0.778,0.222,0.111,4.0,1.0,1.0,82.8,3
CP-0135,Commercial Property,Water Damage - Pipe Burst,BOP,OH,WV,1,N,74700.0,2,1,07/10/2024,08/01/2024,18,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0136,Commercial Property,Fire - Structure,Standalone Property,KY,NY,1,N,274200.0,2,0,03/16/2024,10/15/2024,8,4,C,High,7.0,0.429,0.571,0.143,3.0,1.0,1.0,86.8,3
CP-0137,Commercial Property,Vandalism,Commercial Package,WV,KY,1,N,15600.0,2,0,05/12/2024,11/04/2024,14,5,C,High,5.0,0.6,0.4,0.0,5.0,0.0,0.0,97.5,3
CP-0138,Commercial Property,Equipment Breakdown,Industrial,OH,NY,1,N,40000.0,1,0,08/07/2024,10/17/2024,13,6,B,Medium,3.0,0.333,0.667,0.0,2.0,1.0,1.0,79.0,2
CP-0139,Commercial Property,Wind/Hail - Roof,BOP,NY,VA,1,N,22500.0,2,1,11/30/2024,02/02/2025,18,5,A,Medium,2.0,0.5,0.5,0.0,2.0,0.0,0.0,34.0,1
CP-0140,Commercial Property,Water Damage - Pipe Burst,Standalone Property,NY,WV,1,Y,50400.0,2,1,11/30/2024,06/28/2025,8,1,C,Medium,7.0,0.714,0.286,0.0,6.0,0.0,0.0,88.8,3
CP-0141,Commercial Property,Fire - Structure,BOP,PA,KY,1,N,384900.0,1,0,12/04/2024,01/15/2025,6,6,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0142,Commercial Property,Water Damage - Pipe Burst,Standalone Property,PA,PA,0,N,78700.0,1,0,05/14/2024,03/16/2025,16,6,C,High,9.0,0.667,0.333,0.111,4.0,1.0,1.0,111.6,3
CP-0143,Commercial Property,Flood - Sewer Backup,Commercial Package,VA,WV,1,Y,85100.0,1,0,12/28/2024,09/03/2025,20,4,C,High,5.0,0.6,0.4,0.2,3.0,0.0,0.0,68.0,3
CP-0144,Commercial Property,Wind/Hail - Exterior,Commercial Package,KY,KY,0,N,27000.0,3,1,08/21/2024,01/10/2025,7,1,C,High,11.0,0.909,0.091,0.091,5.0,1.0,1.0,83.4,3
CP-0145,Commercial Property,Wind/Hail - Roof,Industrial,NY,IL,1,N,65900.0,1,0,05/30/2024,10/11/2024,10,2,B,High,3.0,0.0,1.0,0.0,3.0,0.0,0.0,31.5,2
CP-0146,Commercial Property,Fire - Electrical,Standalone Property,MD,KY,1,N,147000.0,1,0,03/31/2024,04/28/2024,10,5,0,Low,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0147,Commercial Property,Flood - Surface,Commercial Package,PA,WV,1,N,171900.0,1,0,06/14/2024,07/23/2024,15,1,A,Medium,2.0,0.0,1.0,0.0,2.0,0.0,0.0,177.0,1
CP-0148,Commercial Property,Flood - Sewer Backup,Commercial Package,KY,KY,0,N,84200.0,1,0,06/30/2024,07/18/2024,11,2,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0149,Commercial Property,Flood - Surface,Industrial,IL,WV,1,N,42500.0,1,0,04/23/2024,03/14/2025,17,3,C,High,6.0,0.667,0.333,0.167,4.0,0.0,0.0,107.4,3
CP-0150,Commercial Property,Water Damage - Pipe Burst,Commercial Package,KY,IL,1,N,50900.0,1,0,02/09/2024,05/09/2024,6,2,A,Low,2.0,0.0,1.0,0.0,2.0,0.0,0.0,61.0,1
CP-0151,Commercial Property,Fire - Structure,BOP,PA,IL,1,N,721700.0,3,0,02/21/2024,11/08/2024,19,0,C,High,5.0,0.6,0.4,0.0,3.0,1.0,1.0,116.5,3
CP-0152,Commercial Property,Fire - Structure,BOP,IL,NY,1,N,476400.0,2,1,05/20/2024,10/18/2024,8,4,C,High,7.0,0.714,0.286,0.143,3.0,1.0,1.0,110.2,3
CP-0153,Commercial Property,Water Damage - Pipe Burst,BOP,WV,OH,1,N,59600.0,1,0,12/23/2024,09/02/2025,18,1,C,High,7.0,0.857,0.143,0.0,4.0,1.0,1.0,136.0,3
CP-0154,Commercial Property,Business Interruption,Industrial,NC,OH,1,N,448100.0,1,0,09/22/2024,01/12/2025,17,0,B,Medium,3.0,1.0,0.0,0.0,3.0,0.0,0.0,125.5,2
CP-0155,Commercial Property,Fire - Structure,BOP,OH,PA,1,N,387700.0,1,0,03/23/2024,11/02/2024,9,1,C,High,6.0,0.5,0.5,0.0,3.0,0.0,0.0,121.4,3
CP-0156,Commercial Property,Flood - Surface,Commercial Package,NY,VA,1,N,171800.0,3,0,06/01/2024,12/06/2024,10,3,C,Medium,12.0,0.833,0.167,0.0,4.0,1.0,1.0,94.0,3
CP-0157,Commercial Property,Wind/Hail - Roof,Industrial,VA,IN,1,N,19000.0,1,0,05/31/2024,02/06/2025,14,5,C,High,10.0,0.6,0.4,0.0,5.0,1.0,1.0,82.9,3
CP-0158,Commercial Property,Fire - Structure,Commercial Package,WV,IN,1,N,652600.0,2,0,12/30/2024,07/09/2025,19,5,C,Medium,12.0,0.667,0.333,0.083,7.0,1.0,1.0,98.2,3
CP-0159,Commercial Property,Fire - Electrical,Industrial,KY,VA,1,N,80300.0,1,0,09/01/2024,05/24/2025,15,2,C,High,8.0,0.75,0.25,0.0,5.0,1.0,1.0,61.0,3
CP-0160,Commercial Property,Business Interruption,Standalone Property,OH,VA,1,N,141600.0,2,0,02/07/2024,08/30/2024,17,6,C,High,12.0,0.917,0.083,0.0,5.0,0.0,0.0,63.5,3
CP-0161,Commercial Property,Fire - Structure,Industrial,VA,NY,1,N,338300.0,2,1,02/13/2024,08/01/2024,13,2,C,Medium,6.0,0.667,0.333,0.0,5.0,0.0,0.0,95.6,3
CP-0162,Commercial Property,Wind/Hail - Roof,Standalone Property,OH,NC,1,Y,70100.0,2,1,06/22/2024,10/28/2024,16,6,B,High,4.0,0.5,0.5,0.25,4.0,0.0,0.0,31.0,2
CP-0163,Commercial Property,Fire - Structure,Industrial,WV,MD,1,N,746900.0,1,0,11/03/2024,12/18/2024,17,4,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0164,Commercial Property,Flood - Sewer Backup,Commercial Package,OH,VA,1,N,134900.0,1,0,01/24/2024,03/19/2024,19,2,0,Medium,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
CP-0165,Commercial Property,Wind/Hail - Exterior,Industrial,IL,NC,1,N,36400.0,1,0,12/25/2024,06/24/2025,20,0,C,High,8.0,0.875,0.125,0.0,4.0,1.0,1.0,146.1,3
CP-0166,Commercial Property,Fire - Structure,BOP,OH,OH,0,N,345000.0,1,0,07/18/2024,07/07/2025,12,3,C,High,10.0,0.8,0.2,0.1,4.0,1.0,1.0,109.8,3
CP-0167,Commercial Property,Equipment Breakdown,Commercial Package,NC,VA,1,N,22100.0,1,0,12/10/2024,06/28/2025,12,2,C,High,8.0,1.0,0.0,0.0,4.0,1.0,1.0,53.0,3
CP-0168,Commercial Property,Flood - Surface,Standalone Property,NY,KY,1,N,137700.0,1,0,09/02/2024,02/03/2025,13,0,C,High,8.0,0.875,0.125,0.25,4.0,1.0,1.0,89.1,3
CP-0169,Commercial Property,Flood - Sewer Backup,Standalone Property,NY,OH,1,Y,83900.0,1,0,10/10/2024,11/03/2024,10,2,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0170,Commercial Property,Business Interruption,Industrial,IN,NC,1,N,341600.0,3,1,11/11/2024,09/02/2025,9,3,C,High,5.0,0.8,0.2,0.2,5.0,0.0,0.0,62.5,3
CP-0171,Commercial Property,Vandalism,Industrial,IN,PA,1,N,11800.0,3,1,02/03/2024,04/10/2024,18,2,A,Medium,2.0,0.5,0.5,0.0,2.0,0.0,0.0,147.0,1
CP-0172,Commercial Property,Flood - Surface,Standalone Property,IL,VA,1,N,240900.0,1,0,12/22/2024,03/26/2025,14,3,C,Medium,5.0,0.8,0.2,0.2,4.0,0.0,0.0,129.0,3
CP-0173,Commercial Property,Fire - Electrical,Commercial Package,IL,VA,1,N,185700.0,1,0,10/23/2024,12/21/2024,13,0,0,Medium,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0174,Commercial Property,Equipment Breakdown,BOP,NY,WV,1,N,17000.0,3,1,12/21/2024,04/16/2025,6,4,C,High,10.0,0.8,0.2,0.0,6.0,1.0,1.0,91.0,3
CP-0175,Commercial Property,Water Damage - Pipe Burst,Industrial,VA,IL,1,N,71400.0,1,0,11/19/2024,03/13/2025,13,6,C,High,11.0,0.455,0.545,0.364,6.0,0.0,0.0,102.1,3
CP-0176,Commercial Property,Flood - Sewer Backup,Commercial Package,VA,PA,1,N,70100.0,2,0,10/03/2024,12/16/2024,8,0,A,Medium,2.0,1.0,0.0,0.0,2.0,0.0,0.0,61.0,1
CP-0177,Commercial Property,Wind/Hail - Roof,BOP,IL,VA,1,N,56600.0,1,0,07/20/2024,09/06/2024,9,3,0,Low,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0
CP-0178,Commercial Property,Wind/Hail - Exterior,Industrial,PA,IN,1,Y,15100.0,1,0,02/22/2024,12/22/2024,18,2,C,High,9.0,0.778,0.222,0.333,6.0,0.0,0.0,84.2,3
CP-0179,Commercial Property,Fire - Structure,Standalone Property,NC,WV,1,N,696900.0,1,0,10/31/2024,02/03/2025,9,5,B,Medium,3.0,0.333,0.667,0.0,3.0,0.0,0.0,67.5,2
CP-0180,Commercial Property,Business Interruption,Standalone Property,NC,PA,1,N,180600.0,1,0,04/22/2024,01/01/2025,6,0,C,Medium,10.0,0.6,0.4,0.1,4.0,1.0,1.0,102.2,3
CP-0181,Commercial Property,Wind/Hail - Exterior,Commercial Package,NC,IL,1,N,75000.0,1,0,03/27/2024,06/25/2024,9,6,B,Medium,4.0,0.25,0.75,0.0,4.0,0.0,0.0,87.0,2
CP-0182,Commercial Property,Equipment Breakdown,BOP,VA,NC,1,N,51700.0,3,1,05/23/2024,07/27/2024,11,4,A,Medium,3.0,0.0,1.0,0.333,2.0,1.0,1.0,96.0,1
CP-0183,Commercial Property,Business Interruption,Industrial,VA,MD,1,N,149100.0,2,1,07/11/2024,12/22/2024,8,4,C,High,7.0,0.857,0.143,0.0,5.0,0.0,0.0,71.0,3
CP-0184,Commercial Property,Water Damage - Pipe Burst,Standalone Property,IN,IN,0,N,72500.0,1,0,05/24/2024,09/27/2024,9,3,C,Medium,5.0,0.6,0.4,0.0,5.0,0.0,0.0,72.2,3
CP-0185,Commercial Property,Business Interruption,BOP,NC,IL,1,N,494600.0,1,0,06/19/2024,04/01/2025,17,5,C,Medium,8.0,0.625,0.375,0.125,5.0,1.0,1.0,72.9,3
CP-0186,Commercial Property,Equipment Breakdown,Standalone Property,KY,PA,1,N,14200.0,1,0,06/07/2024,12/19/2024,11,0,C,High,11.0,0.818,0.182,0.091,7.0,0.0,0.0,82.7,3
CP-0187,Commercial Property,Wind/Hail - Roof,Commercial Package,PA,KY,1,N,84900.0,1,0,01/03/2024,05/12/2024,14,1,C,Medium,8.0,0.75,0.25,0.0,6.0,1.0,1.0,90.9,3
CP-0188,Commercial Property,Vandalism,BOP,OH,IL,1,N,18500.0,1,0,10/26/2024,07/10/2025,11,6,C,High,7.0,0.286,0.714,0.143,4.0,1.0,1.0,103.7,3
CP-0189,Commercial Property,Water Damage - Pipe Burst,Industrial,IN,IN,0,Y,72800.0,1,0,03/02/2024,07/04/2024,6,1,B,High,4.0,0.75,0.25,0.25,4.0,0.0,0.0,101.3,2
CP-0190,Commercial Property,Vandalism,BOP,WV,VA,1,N,29300.0,3,1,05/01/2024,03/19/2025,8,1,C,High,5.0,0.6,0.4,0.0,3.0,0.0,0.0,122.5,3
CP-0191,Commercial Property,Flood - Surface,Industrial,NC,PA,1,N,193400.0,1,0,08/17/2024,01/12/2025,13,2,B,High,4.0,0.75,0.25,0.0,4.0,0.0,0.0,57.0,2
CP-0192,Commercial Property,Water Damage - Pipe Burst,BOP,IN,NC,1,N,21200.0,2,1,03/22/2024,12/01/2024,19,5,C,High,8.0,0.625,0.375,0.25,4.0,0.0,0.0,123.4,3
CP-0193,Commercial Property,Vandalism,BOP,MD,IL,1,N,24300.0,1,0,11/30/2024,09/19/2025,17,0,C,High,6.0,0.833,0.167,0.0,5.0,0.0,0.0,85.6,3
CP-0194,Commercial Property,Flood - Sewer Backup,Standalone Property,WV,IN,1,Y,41800.0,1,0,01/03/2024,08/26/2024,6,0,C,Medium,9.0,0.556,0.444,0.222,5.0,0.0,0.0,71.1,3
CP-0195,Commercial Property,Business Interruption,Standalone Property,PA,IN,1,N,129100.0,3,1,02/01/2024,04/03/2024,18,5,A,Medium,2.0,0.5,0.5,0.5,2.0,0.0,0.0,85.0,1
CP-0196,Commercial Property,Vandalism,Commercial Package,IN,MD,1,N,36500.0,1,0,12/09/2024,04/01/2025,18,2,B,High,4.0,1.0,0.0,0.0,3.0,1.0,1.0,56.0,2
CP-0197,Commercial Property,Flood - Surface,Standalone Property,VA,PA,1,N,126900.0,3,1,03/07/2024,08/09/2024,13,5,C,High,12.0,0.667,0.333,0.25,6.0,1.0,1.0,77.5,3
CP-0198,Commercial Property,Flood - Sewer Backup,Commercial Package,VA,IN,1,N,106000.0,1,0,12/21/2024,06/06/2025,11,1,C,High,5.0,0.6,0.4,0.0,5.0,0.0,0.0,85.0,3
CP-0199,Commercial Property,Business Interruption,Commercial Package,WV,NC,1,N,54600.0,3,1,05/10/2024,07/10/2024,12,4,A,Low,2.0,0.5,0.5,0.5,2.0,0.0,0.0,147.0,1
CP-0200,Commercial Property,Vandalism,Industrial,MD,IN,1,Y,8000.0,2,1,03/22/2024,01/23/2025,16,3,C,High,10.0,0.6,0.4,0.1,5.0,1.0,1.0,92.4,3
